Date,Close
6/5/2019 16:00:00,0.58
6/7/2019 16:00:00,0.56
6/10/2019 16:00:00,0.55
6/12/2019 16:00:00,0.53
6/19/2019 16:00:00,0.44
6/20/2019 16:00:00,0.57
6/21/2019 16:00:00,0.43
6/24/2019 16:00:00,0.48
6/25/2019 16:00:00,0.47
6/26/2019 16:00:00,0.53
6/27/2019 16:00:00,0.48
7/3/2019 13:00:00,0.4
7/5/2019 16:00:00,0.08
8/13/2019 16:00:00,0.4
8/15/2019 16:00:00,0.46
8/19/2019 16:00:00,0.46
8/27/2019 16:00:00,0.38
9/4/2019 16:00:00,0.35
9/10/2019 16:00:00,0.38
9/11/2019 16:00:00,0.3
9/19/2019 16:00:00,0.46
9/25/2019 16:00:00,0.41
10/1/2019 16:00:00,0.35
10/9/2019 16:00:00,0.34
10/15/2019 16:00:00,0.35
10/24/2019 16:00:00,0.42
10/28/2019 16:00:00,0.53
11/4/2019 16:00:00,0.47
11/6/2019 16:00:00,0.39
11/19/2019 16:00:00,0.32
11/21/2019 16:00:00,0.38
12/2/2019 16:00:00,0.38
12/3/2019 16:00:00,0.38
12/4/2019 16:00:00,0.38
12/5/2019 16:00:00,0.46
12/10/2019 16:00:00,0.46
12/12/2019 16:00:00,0.46
12/13/2019 16:00:00,0.38
12/17/2019 16:00:00,0.01
12/26/2019 16:00:00,0
12/27/2019 16:00:00,0.38
12/30/2019 16:00:00,0.45
1/24/2020 16:00:00,0.4
2/24/2020 16:00:00,0.4
3/3/2020 16:00:00,0.23
3/4/2020 16:00:00,0.58
3/5/2020 16:00:00,0.52
3/6/2020 16:00:00,0.4
3/9/2020 16:00:00,0.33
3/10/2020 16:00:00,0.36
3/11/2020 16:00:00,0.35
3/12/2020 16:00:00,0.31
3/13/2020 16:00:00,0.27
3/16/2020 16:00:00,0.22
3/17/2020 16:00:00,0.24
3/18/2020 16:00:00,0.21
3/19/2020 16:00:00,0.22
3/20/2020 16:00:00,0.22
3/23/2020 16:00:00,0.2
3/24/2020 16:00:00,0.22
3/25/2020 16:00:00,0.27
3/26/2020 16:00:00,0.32
3/27/2020 16:00:00,0.33
3/30/2020 16:00:00,0.44
3/31/2020 16:00:00,0.56
4/1/2020 16:00:00,0.46
4/2/2020 16:00:00,0.44
4/3/2020 16:00:00,0.42
4/6/2020 16:00:00,0.42
4/7/2020 16:00:00,0.4
4/8/2020 16:00:00,0.39
4/9/2020 16:00:00,0.4
4/13/2020 16:00:00,0.39
4/14/2020 16:00:00,0.39
4/15/2020 16:00:00,0.37
4/16/2020 16:00:00,0.39
4/17/2020 16:00:00,0.43
4/20/2020 16:00:00,0.45
4/21/2020 16:00:00,0.45
4/22/2020 16:00:00,0.49
4/23/2020 16:00:00,0.46
4/24/2020 16:00:00,0.46
4/27/2020 16:00:00,0.46
4/28/2020 16:00:00,0.45
4/29/2020 16:00:00,0.44
4/30/2020 16:00:00,0.45
5/1/2020 16:00:00,0.43
5/4/2020 16:00:00,0.43
5/5/2020 16:00:00,0.39
5/6/2020 16:00:00,0.4
5/7/2020 16:00:00,0.42
5/8/2020 16:00:00,0.42
5/11/2020 16:00:00,0.42
5/12/2020 16:00:00,0.46
5/13/2020 16:00:00,0.46
5/14/2020 16:00:00,0.44
5/15/2020 16:00:00,0.42
5/18/2020 16:00:00,0.48
5/19/2020 16:00:00,0.45
5/20/2020 16:00:00,0.44
5/21/2020 16:00:00,0.42
5/22/2020 16:00:00,0.39
5/26/2020 16:00:00,0.4
5/27/2020 16:00:00,0.4
5/28/2020 16:00:00,0.41
5/29/2020 16:00:00,0.4